ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment
SE-00002148,PR-00000867,Out of Hours Care,Stanthorpe Cool Kids,Common Joe Investments Pty Ltd,29 Marsh Street  ,STANTHORPE,QLD,4380,07 4681 4648,4683 6150,shanenmelissa@bigpond.com,,40,11/14/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 5 years to 12 years""","""ASC: $14.00""",3.00pm - 6.00pm,T,,,,,F,,,F
SE-00000847,PR-00000558,Family Day Care,Stanthorpe Family Day Care,Community Development Services Inc,8 Corundum Street  ,STANTHORPE,QLD,4380,07 4681 2670,46813515,stanthorpefamily@aapt.net.au,,0,7/5/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.stanthorpefamilydaycare.com.au/,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $5.90 - $8.00""",12.00am - 11.59pm,F,,,,,F,,,F
SE-00000881,PR-00000473,Outside Hours Care,Stanthorpe YMCA Outside School Hours Care,Stanthorpe YMCA,Stanthorpe YMCA   8 Corundum Street,STANTHORPE,QLD,4380,0746 812 411,0746 814 552,stanthorpeymca@bigpond.com, This service may provide education and care after school and during school holidays only.,30,11/7/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,
SE-00002064,PR-00000867,Long Day Care,Free Range Kids - Wallangarra,Common Joe Investments Pty Ltd,63 Barawell Street  ,WALLANGARRA,QLD,4383,07 4684 3685,07 4684 3222,frkgarra@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service operating hours on Monday to Friday during Australian Eastern Daylight Time (AEDT) is  6:00am to 5:30pm. The service operating hours on Monday to Friday during Australian Eastern Standard Time (AEST) is 6:15am to 5:45pm. This service is approved to provide a rest period from 12.00pm to 2.00pm (Australian Eastern Standard Time) on Monday to Friday (or 11:15am to 1:15pm on Monday to Friday during Daylight saving). This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,10/9/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.freerangekids.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $60.00""",6.30am - 5.30pm,T,,,,,F,,,F
SE-00001486,PR-00000451,Short Day Care,Texas and District Kindergarten,Texas & District Kindergarten Association Inc,1 Wilson St  ,TEXAS,QLD,4385,07 4653 1247,,kidsone@bigpond.com, This service is approved to operate for 20 hours or less a week.,20,6/11/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/texasdistrict,"""ages 3.5 years to 4.5 years""",,8.30am - 2.45pm,F,,,,,,,,
SE-00002032,PR-00000924,Long Day Care,Wrigglers & Gigglers Child Care Centre,Debra Maree Molloy,19 St John Street  ,TEXAS,QLD,4385,07 4653 1122,07 4653 1032,wrigglers1@bigpond.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,29,11/18/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $50.00""",6.30am - 6.30pm,F,,,,,F,,,F
SE-00000752,PR-00000623,Long Day Care,Inglewood Childcare & Kindergarten,Inglewood Kindergarten Association Inc,35 Great Road Street  ,INGLEWOOD,QLD,4387,07 4652 1138,4652 1138,admin@inglewoodchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,49,12/3/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 wees to 6 years""","""6 weeks - 6 years: $60.00""",,,,,,,,,,
SE-00001569,PR-00001182,Long Day Care,Coolabah Early Childhood Development Centre - Goondiwindi,Dalrymple Creek Pty Ltd ATF Dalrymple Creek Unit Trust,7 Lamberth Road  ,GOONDIWINDI,QLD,4390,07 4671 3111,4671 0771,billabongcc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to 5 children from birth to 15 months of age.,61,11/14/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $70.00, 13 months - 24 months: $66.00, 25 months - 5 years: $63.00""",6.30am - 6.30pm,,,,,,,,,
SE-00000851,PR-00000617,Family Day Care,Goondiwindi & District Family Day Care Scheme,Goondiwindi and District Family Day Care Assoc Inc,28 George Street  ,GOONDIWINDI,QLD,4390,07 4671 4500,4671 3000,seniorco-ordinator@gdifdc.com.au,,0,7/3/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $4.50 - $21.00*""",12.00am - 11.59pm,F,,,,,,,,
SE-00000157,PR-00000463,Long Day Care,Goondiwindi and District Child Care Centre,Goondiwindi and District Child Care Association Inc,Cnr Sandhurst & Albert Streets  ,GOONDIWINDI,QLD,4390,07 4671 3375,4671 4800,gdichildcare@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 1:00pm and 2:00pm to 3:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,58,8/10/14,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,,,,,,,,,,,,,
