ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Secure Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001600,PR-00000154,Long Day Care,The Kidz Cubby Educational Centre,The Cubby Educational Centre Pty Ltd,373-375 Oakey Flat Rd  ,MORAYFIELD,QLD,4506,5498 7666,5428 7225,director@thekidzcubby.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,150,8/27/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.thekidzcubby.com.au/,"""ages 6 weeks to 4 years""","""6 week - 35 months: $70.00, 36 months - 4 years: $67.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000315,PR-40001112,Long Day Care,Bribie Island Childcare and Kindergarten,Affinity Education Group Limited,13 Third Avenue  ,BRIBIE ISLAND,QLD,4507,07 3408 0666,3408 0667,bribieislandccc@affinityeducation.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,50,12/16/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.bribieislandchildcare.com.au/,"""ages 15 months to 6 years""",,7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001287,PR-00000430,Short Day Care,Bribie Island Community Kindergarten,Bribie Island Community Kindergarten Inc,30 Cotterill Avenue  ,BRIBIE ISLAND,QLD,4507,07 3408 1788,,admin@bribiekindy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,5/3/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Excellent,http://www.candk.asn.au/bribieisland,"""ages 3.5 to 5 years""","""3.5 years - 5 years: $23.00""",8.30am - 2.30pm,F,,,,,,,,,,,,,,,,,,,,
SE-00014007,PR-00008029,Short Day Care,C&K Banksia Beach Community Kindergarten,The Creche and Kindergarten Association Limited, 21 Alpinia Avenue   ,BANKSIA BEACH,QLD,4507,3410 8740,3410 8746,banksiabeach@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,7/21/16,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/banksiabeach,"""ages 3.5 to 5 years""","""3.5 years - 5 years: $29.120""",8.30am - 2.30pm,F,,,,,T,F,,,,,,,,,,,,,,
SE-00001631,PR-00001129,Long Day Care,Goodstart Early Learning Banksia Beach,Goodstart Early Learning Ltd,20 Orara Avenue  Banksia Beach,BRIBIE ISLAND,QLD,4507,3408 6255,,bri@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/banksia-beach/overview,"""ages 6 weeks to 4 years""","""6 weeks - 24 months: $81.80, 25 months - 35 months: $76.20, 36 months - 4 years: $73.10""",6.30am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00001809,PR-00001129,Long Day Care,Goodstart Early Learning Bongaree,Goodstart Early Learning Ltd,44 First Avenue  ,BONGAREE,QLD,4507,3410 1115,,bgr@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,57,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/bongaree/overview,"""ages 15 months to 5 years""","""15 months - 24 months: $84.60, 25 months - 35 months: $81.10, 36 months - 5 years: $78.50""",6.30am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00014002,PR-00006559,Outside Hours Care,Helping Hands Banksia Beach,Helping Hands Network Foundation Ltd, Banksia Beach State School  Sunderland Drive,BANKSIA BEACH,QLD,4507,0448 080 489,5341 8958,banksiabeach@helpinghandsnetwork.com.au, The school is approved to provide education and care to children from over preschool age including school children.,60,7/10/16,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00002321,PR-00001030,Outside Hours Cre,Helping Hands Bribie Island,Helping Hands Network Pty Ltd,C/- Bribie Island State School  31-63 First Avenue,BRIBIE ISLAND,QLD,4507,0488 446 320,5341 8958,bribieisland@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,60,10/5/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00000605,PR-00000692,Long Day Care,Bayside Kids Education Centre,Preschool Services Australia Pty Ltd ATF Karen Williams Family Trust,121 Cross Street  ,DECEPTION BAY,QLD,4508,3204 9755,3204 9174,info@baysidekids.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,11/10/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.baysidekids.net.au/,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $59.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001271,PR-00000517,Short Day Care,Bayview Kindergarten,Bayview Kindergarten Association Inc,33 Bayview Tce  ,DECEPTION BAY,QLD,4508,07 3203 2093,,baykindy@bigpond.net.au; admin@bayviewkindy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,6/4/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.candk.asn.au/bayview,"""ages 3.5 to 4.5 years""","""3.5 years - 4.5 years: $25.00",8.45am - 2.45pm,F,,,,,T,$10.00,F,,,,,,,,,,,,,
