ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00002056,PR-00008029,Short Day Care,C&K Leichhardt Community Kindergarten,The Creche and Kindergarten Association Limited,19-21 West Street  ,ROCKHAMPTON,QLD,4700,4922 5077,4922 5022,leichhardt@candk.asn.au,,24,6/13/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/leichhardt,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",9.00am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-40000497,PR-00006557,Out of Hours Care*,Camp Australia - Crescent Lagoon State School OSHC,The Camp Australia Foundation Ltd,North Street Extended  ,Rockhampton,QLD,4700,412078743,,oshc@campaustralia.com.au,,35,2/26/17,Working Towards NQS,Meeting NQS,Working Towards NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Exceeding NQS,Working Towards NQS,http://www.campaustralia.com.au/Service/QLDCrescentLagoonStateSchool/2C64,"""ages 5 years to 12 years""","""BSC: $12.00, ASC: $17.00, VC: $45.00""","""BSC: 6.30am - 8.45am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000830,PR-00000526,Family Day Care,Capricornia Family Day Care,Family Day Care Association Queensland Inc,27 Bolsover Street  ,ROCKHAMPTON,QLD,4700,4927 9577,07 4927 8425,info@capricornia.fdcqld.org,,0,8/31/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.fdcqld.org/capricornia-family-day--care,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $10.00 - $30.00 per hour*""",12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-40000487,PR-00008119,Short Day Care,City Child Care Centre,Rockhampton Regional Council,189 Alma St  ,ROCKHAMPTON CITY,QLD,4700,749368255,49276108,childcare@rrc.qld.gov.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,42,8/8/05,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.rockhamptonregion.qld.gov.au/Home,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $43.00, 13 months - 6 years: $36.00""",8.00am - 5.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00002403,PR-00001233,Family Day Care,Education and Care At Home,Tanya Hine,Floor 1  126 East Street,ROCKHAMPTON,QLD,4700,07 4922 7773, ,educationandcareathome@bigpond.com,,0,11/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $7.00 - $10.00 per hour*""",12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-00001735,PR-00001129,Long Day Care,Goodstart Early Learning Rockhampton,Goodstart Early Learning Ltd,245-253 Campbell St  ,ROCKHAMPTON,QLD,4700,07 49237499,,ksk@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:30pm to 5:30pm when it is 86 children This service is approved to provide a rest period from 12:30 pm to 2:30 pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,12/1/15,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.goodstart.org.au/centres/rockhampton/overview,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $81.30, 13 months - 24 months: $79.20, 25 months - 35 months: $75.70, 36 months - 6 years: $72.30""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00002247,PR-00001103,Outside of Hours Care*,Rockhampton Girls Grammar Outside School Hours Care,Rockhampton Girls Grammar School,155 Agnes Street  ,ROCKHAMPTON,QLD,4700,49300956,749224809,oshc@rggs.qld.edu.au,,30,3/5/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.rggs.qld.edu.au/care/out-of-school-hours-care/,"""ages 5 years to 12 years""","""ASC: $22.00, VC:  $46.00""","""ASC: 3.00pm - 6.00pm, VC: 8.00am - 5.30pm""",,,,,,,,,T,,,,,,,,,,,,
SE-00001456,PR-00000624,Short Day Care,Rockhampton South Kindergarten,Rockhampton South Kindergarten Association Inc,Phyllis Street  ,THE RANGE,QLD,4700,07 4922 5129,07 4922 9279,rockysouthkindy@westnet.com.au,,25,5/4/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,http://www.candk.asn.au/rockhamptonsouth,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $26.00""",8.40am - 2.52pm,F,F,,,,,,,,,,,,,,,,,,,
SE-00001170,PR-00000595,Outside of Hours Care,St Peter's  After School Care,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,170 Upper Dawson Road  ,ROCKHAMPTON,QLD,4700,0417 753 258,07 4927 7032,m.gorman@rok.catholic.edu.au,,35,8/9/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 5 years to 12 years""","""5 years - 12 years: $20.00""",3.00pm - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000231,PR-00000134,Long Day Care,The Rockhampton Grammar School Early Learning Centre,The Board of Trustees of the Rockhampton Grammar School,3 Reservoir Street  ,ROCKHAMPTON,QLD,4700,4922 1615,4922 7654,elc@rgs.qld.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,68,1/3/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.rgs.qld.edu.au/early-learning-centre,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $88.50, 25 months - 5 years: $86.50""",6.30am - 6.00pm,T,T,,,,,,,,,,,,,,,,,,,
