ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00000905,PR-00000656,OSHC,Somerset Hills Outside School Hours Care,Somerset Hills State School P & C Association,Somerset Hills State School  Cnr Kitchener & Webster Roads,STAFFORD HEIGHTS,QLD,4053,07 3350 4546,07 3350 4546,shssoshc@hotmail.com, The service is approved to provide education and care to children before and after school only. This sevice is approved to provide education and care to children from over preschool age including school children.,48,7/25/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://somehillss.eq.edu.au/wcms/index.php?option=com_content&view=article&id=20&Itemid=43,5 - 12 years,,7:00am - 6:00pm,,,,,,F
SE-00001474,PR-00000178,School hours care,Stafford Heights Pre School and Kindergarten,Stafford Heights Kindergarten Association Incorporated,12 Dorkay Street  ,STAFFORD HEIGHTS,QLD,4053,07 3359 7923,,kindy@sctelco.net.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,7/2/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://staffordheightskindergarten.qld.edu.au/,3.5 years - 5 years,"""3.5 - 5 years: $27.20 - $34.00 per day + $25.00 per term building fund + $30.00 per term parent roster levy + $50.00 per year membership""",8:30am - 4:00pm,F,F,F,,,F
SE-40000729,PR-40000555,Child care,The Hills District Childcare Centre,The Hills District Childcare Centre Pty Ltd AFT Griffin Family Trust,1035 South Pine Rd  ,EVERTON HILLS,QLD,4053,738554445,,info@thehillschildcare.com.au,,86,1/23/12,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.thehillschildcare.com/,6 weeks - 5 years,"""6 weeks - 30 months: $85.00, 30 months - 5 years: $80.00""",6:15am - 6:15pm,T,F,F,,,F
SE-00001657,PR-00007765,Child care,Tumble Tots Kindergarten,Kylie Barrett ,3 Wayne Street  ,STAFFORD HEIGHTS,QLD,4053,07 3311 7743,07 3311 7743,kylie@tumbletots.com.au, This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children,14,1/31/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.tumbletots.com.au/stafford.html,3 years - 5 years,"""3 - 5 years: $78.00""",7:00am - 6:00pm,F,F,F,,,T
SE-00001770,PR-00001185,Child care,Tumble Tots McDowall,Michael Wayne Steele ATF the Steele Family Trust,3 Hackman Street  ,MCDOWALL,QLD,4053,07 3353 1228,,corrina@tumbletots.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to 36 months of age.,14,11/1/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.tumbletots.com.au/mcdowall.html,6 weeks - 3 years,"""6 weeks - 18 months: $78.00, 15 months - 3 years: $75.00""",7:00am - 6:00pm,F,F,F,,,T
SE-00001548,PR-00000533,OSHC,YMCA Grovely Outside School Hours Care,The Young Men's Christian Association of Brisbane,Grovely State School  200 Dawson Parade,GROVELY,QLD,4053,07 3855 9997,07 3356 8786,agr@ymca.org.au, An approved alternative solution relating to Performance Criteria P2 Accessibility and P16 Electrical Safety Precautions within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service.  This service is approved to provide education and care to children from over preschool age including school children.,45,6/20/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://grovelyss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,,"""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000927,PR-00000533,OSHC,YMCA Mitchelton Outside School Hours Care,The Young Men's Christian Association of Brisbane,Mitchelton State School  47 Glen Retreat Road,MITCHELTON,QLD,4053,07 3355 6016,,ami@ymca.org.au, The maximum number of children able to be provided with education and care after school is 75 The maximum number of children able to be provided with education and care before school is 50 The maximum number of children able to be provided with education and care during school holidays is 80 This service is approved to provide education and care to children from over preschool age including school children.,80,3/6/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.ymcachildcare.com.au/ymca-ohsc-services/brisbane-north-west/mitchelton-oshc,5 - 12 years,"""BSC: $12.50 - $13.50, ASC: $17.50 - $18.50, VC: $42.00 - $45.00""","""BSC: 6:30 - 9:30am, 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00002197,PR-00001055,Child care,Arlington Drive Premium Childcare,FMJ Childcare Pty Ltd,Shop 1 Arlington Court  1 Arlington Drive,ARANA HILLS,QLD,4054,738511250,738511255,director@arlingtondrive.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria P4- Outdoor Play Facilities within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children form birth up to and including over preschool age not including school children.,150,6/28/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks -  5 years,"""6 weeks - 24 months: $95.00, 25 months - 5 years: $90.00"" ",6:30 am to 6:30 pm,T,T,F,,,F
SE-00000691,PR-40000066,Child care,Dixi's Early Learning Centre,Lakota (Queensland) Pty Ltd,3 Arlington Drive  ,ARANA HILLS,QLD,4054,07 3851 3577,3851 3760,aranahills@dixis.com.au, This service is approved to provide education and care to children from birth up to and including school children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,4/14/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,www.dixis.com.au,6 weeks - 6 years,,6:30am - 6:30pm,T,F,T,,,F
SE-00002022,PR-00001203,Child care,Kindy Patch Grovely ,G8 KP Pty Ltd,Lot 4  161 Dawson Parade,GROVELY,QLD,4054,07 3355 4949,07 3355 4919,grovely@kindypatch.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,75,3/14/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.kindypatch.com.au/centres/kindy-patch-grovely/,6 weeks - 6 years,"""6 weeks - 15 months: $92.00, 15 - 24 months: $83.00, 2 - 3 years: $79.00, 3 - 5 years: $81.00""",6:30am - 6:00pm,T,F,F,,,F
