ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00000882,PR-00000033,OSHC,Yeronga State School Outside School Hours Care,Yeronga State School P & C Association,Yeronga State School  122 Park Road,YERONGA,QLD,4104,07 3892 3079,07 33927974,yoshc@live.com.au, This service is approved to provide education and care to 90 children during school holidays This service is approved to provide education and care to 60 children before school This service is approved to provide education and care to 110 children after school An approved alternative solution relating to Performance Criteria P18  Accessibility within SP5.4 Child Care Centres of Queensland Development Code (with publication date of 16 November 2007) applies to this service.,110,5/6/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://yoshc.vpweb.com.au/,5 - 12 years,"""BSC: $13.50, ASC: $18.00, VC: $41.00""","""BSC: 7:00 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F
SE-00001654,PR-00000746,School hours care,Yeronga Village Child Care Centre,Philco Pty Ltd ATF Hutton Family Trust,419 Fairfield Rd Cnr Devon Street  ,YERONGA,QLD,4104,3848 3848,,yvchildcare@hotmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children,46,7/8/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.yerongavillagechildcare.com.au/,15 months - 5 years,"""15 months - 5 years: $80.00 per day + enrolment fee + refundable bond fee""",7:00am - 6:00pm,T,F,F,,F,F
SE-40000767,PR-40000646,Child care,Best Friend Family Day Care,Best Friend Family Day Care Pty Ltd ATF Best Friend Family Trust,168 Beaudesert Road  ,MOOROOKA,QLD,4105,731722323,,cagomuufo@gmail.com,,0,10/31/12,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,,,,,,,,,F
SE-00002376,PR-00000689,Child care,Brisbane Harmony Family Day Care,Brisbane Harmony Family Day Care Services Pty Ltd,68A Beaudesert Road   ,MOOROOKA,QLD,4105,07 33928849,,admin@harmonyfdc.com.au,,0,8/1/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 12 years,"""6 weeks - 12 years: $5.70 - $9.00 per hour""",,,,,,,F
SE-00002254,PR-00008029,School hours care,C&K Moorooka Community Kindergarten,The Creche and Kindergarten Association Limited,Sherley Street  ,MOOROOKA,QLD,4105,07 3392 7306,07 3356 7976,moorooka@candk.asn.au,,24,1/27/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/moorooka,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.00 per day + enrolment fee""",8:30am - 2:30pm,F,F,F,,,T
SE-00002270,PR-00001116,Child care,Golden Heart Family Day Care Pty Ltd,Golden Heart Family Day Care Pty Ltd,11/147 Beaudesert Road  ,MOOROOKA,QLD,4105,07 3255 8510,3255 8015,goldenheartfdc@gmail.com,,0,10/5/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 12 years,"""6 weeks - 12 years family daycare: $6.10 - $8.00 per hour, 5 - 12 years BSC: $6.10 - $33.55, 5 - 12 years ASC: $6.10 - $33.55""",,F,F,F,,,F
SE-00001117,PR-00000544,OSHC,Moorooka Activities Centre,Moorooka State School P&C Association,C/- Moorooka State School  Sherley Street,MOOROOKA,QLD,4105,07 3848 6392,07 3848 6392,moorookaoshc1@bigpond.com,,75,6/1/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,https://moorookass.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""VC: $38.00""","""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",F,F,F,,,F
SE-00000062,PR-00000876,School hours care,Moorooka Early Learning Centre,Downs Motel Toowoomba Pty Ltd ATF The Pendleton Trust,14 Sherley Street  ,MOOROOKA,QLD,4105,07 3892 4429,,barb_lou_white@hotmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,34,3/15/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.moorookaearlylearning.com.au/,15 months - 5 years,"""15 months - 5 years: $72.00""",6:30am - 6:30pm,F,F,F,,,F
SE-00002276,PR-00001121,Child care,Moorooka Family Day Care,Moorooka Family Day Care Pty Ltd,180 Beaudesert Road  ,MOOROOKA,QLD,4105,3392 8350,,moorookafdc@hotmail.com,,0,4/28/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 12 years,"""6 weeks - 12 years: $5.75 - $8.00 per hour""",,F,F,F,,,F
SE-00000063,PR-00000389,Child care,St Brendans Child Care Centre and Kindergarten,Lake Mona Pty Ltd,80 Hamilton Road  ,MOOROOKA,QLD,4105,732751741,732166078,sbccc@childcaresolutions.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019   (subject to the provisions of Regulation 310 (1)).,64,10/17/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://www.stbrendansccc.com.au/index.html,15 months - 5 years,,6:30am - 6:00pm,F,F,F,,,F
