ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00002279,PR-00000659,OSHC,PCYC Logan - Kingston School Age Care,Queensland Police-Citizens Youth Welfare Association ,Kingston State School  Juers Street,KINGSTON,QLD,4114,07 3442 1700,07 3808 7834,kingstonsac@pcyc.org.au,,60,5/24/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Logan-Kingston.aspx,5 - 12 years,"""BSC: $15.00, ASC: $19.50 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 2:40 - 6:00pm""",,F,F,,,T,,,,,,,,,,,,,,,
SE-00000864,PR-00000659,OSHC,PCYC Logan School Age Care,Queensland Police-Citizens Youth Welfare Association ,Logan City PCYC  7 Jacaranda Avenue,WOODRIDGE,QLD,4114,07 3442 1705,07 3808 7834,logansac@pcyc.org.au,,100,4/2/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://pcyc.org.au/School-Age-Care/Logan.aspx,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $49.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",,F,F,,,T,,,,,,,,,,,,,,,
SE-00013984,PR-00006704,Child care,Sunny Faces Early Learning Centre,Harry and Andrew Holdings Pty Ltd,25 Smith Road   ,WOODRIDGE,QLD,4114,07 3209 3800, ,admin@sunnyfaceselc.org,,86,10/10/11,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Exceeding NQS,Working Towards NQS,http://www.sunnyfaceselc.org/,6 weeks - 5 years,"""6 weeks - 2 years: $65.00, 2 - 5 years: $60.00""",6:30am - 6:30pm,T,T,F,F,,F,,,,,,,,,,,,,,,
SE-40000171,PR-40000227,Child care,Teeny Tiny Family Day Care,Blueprint International Pty Ltd,2/41 Station Road  ,LOGAN CENTRAL,QLD,4114,07 3299 5557,,teenytinyfdc@gmail.com,,0,11/8/12,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 5 years,,,,,,,,F,,,,,,,,,,,,,,,
SE-00001558,PR-40000066,Child care,Where It Begins Early Learning Centre,Lakota (Queensland) Pty Ltd,27-29 Smith Road  ,WOODRIDGE,QLD,4114,07 3299 2088,,info@whereitbegins.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,8/6/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.whereitbegins.com.au/,6 weeks - 5 years,,6:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000191,PR-40000876,Child care,Woodridge Child Care Education and Development Centre,L G F & B J Wright,66 Ewing Road  ,WOODRIDGE,QLD,4114,07 3208 2037,07 3208 2037,woodridgechildcare@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,64,12/24/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 5 years,"""6 weeks - 12 months: $57.90, 13 - 24 months: $56.90, 25 - 35 months: $55.90, 36 months - 5 years: $54.90""",6:30am - 6:00pm,"""Morning tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000884,PR-00000798,OSHC,Algester State School Outside School Hours Care,Simrick OSHC Pty Ltd,19 Endriandra Street  ,ALGESTER,QLD,4115,07 3273 4002,07 3712 5100,algesteroshc@simrick.com.au, An approved alternative solution to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,120,4/12/09,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $50.00 - $65.00""","""BSC: 7:00 - 9:30am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000032,PR-00000854,Child care,Algester World Of Learning,Ramsay Bourne Acquisitions (No. 2) Pty Limited,57 Endiandra Street  ,ALGESTER,QLD,4115,07 3273 5016,07 3273 8516,algester@worldoflearning.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 73 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. The condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1).,64,6/16/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.worldoflearning.com.au/centres/algester-world-of-learning/,15 months - 6 years,"""15 - 30 months: $77.00, 30 months - 3 years: $76.00, 3 - 5 years: $75.00""",6:45am - 6:15pm,"""Morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00001916,PR-00001129,Child care,Goodstart Early Learning Algester,Goodstart Early Learning Ltd,89 Ormskirk Street  ,ALGESTER EAST,QLD,4115,3272 1044,,alg@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/29/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.goodstart.org.au/centres/algester/overview,6 weeks - 5 years,"""6 weeks - 12 months: $87.00, 13 - 24 months: $84.90, 25 - 35 months: $79.90, 36 months - 5 years: $77.80""",7:00am - 6:00pm,F,T,F,,,F,,,,,,,,,,,,,,,
SE-40001107,PR-00001013,Child care,Parkinson Early Learning Centre,Malabri Pty Ltd ATF Malabri Family Trust,35 Roseneath Dr  ,PARKINSON,QLD,4115,07 3711 2979,,macker05@bigpond.net.au,,120,8/26/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 5 years,,6:30am - 6:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
