ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00000817,PR-00000526,Family Day Care,Ipswich Family Day Care,Family Day Care Association Queensland Inc,54 Phillip Street  ,ONE MILE,QLD,4305,07 3202 2066,3202 2034,manager@ipswichfamilydaycare.com.au,,0,7/2/15,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://ipswichfamilydaycare.org.au,"""ages 6 weeks - 12 years""",,12.00am - 11.59pm,,,,,,F,F,,F,,,,,,,,,,,,
SE-00002286,PR-00001136,Long Day Care,Ipswich Girls' Grammar School Early Education Centre,Board of Trustees of Ipswich Girls' Grammar School Including Ipswich Junior Grammar School,Cnr Queen Victoria Parade   Chermside Road,EAST IPSWICH,QLD,4305,07 34544547,07 3454 4486,kmcardle@iggs.qld.edu.au, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children This service is approved to provide a rest period from 11:00am to 1:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,8/9/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.iggs.qld.edu.au/?name=Early-Education-Centre,"""ages 3 years to 4 years""","""36 months - 4 years: $82.00""",6.30am - 6.00pm,T,,,,,F,$110.00,F,F,,T,,,,,,,,,,
SE-00001184,PR-00000777,Out of Hours Care*,Ipswich Girls' Grammar School Out Of School Hours Care,Ipswich Girls' Grammar School Including Ipswich Junior Grammar School,Chermside Road  ,IPSWICH,QLD,4305,07 3281 4300,07 3812 2175,kmcardle@iggs.qld.edu.au,,65,9/14/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.iggs.qld.edu.au/?name=Outside-School-Care,"""ages 4 years to 11 years""","""4 years - 11 years: $12.00""",6.30am - 8.30am,,,,,,F,F,,T,,T,,,,,,,,,,
SE-00001892,PR-00000840,Out of Hours Care*,Ipswich Grammar School - Before and After School Care,Ipswich Grammar School,Darling Street  ,IPSWICH,QLD,4305,07 38139630,32801384,basc@ipswichgrammar.com,,80,12/19/12,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.ipswichgrammar.com/web/education/BASC/,"""ages 4 years to 12 years""","""4 years - 12 years: $12.00",6.30am - 8.00am,T,,,,,F,F,,T,,T,,,,,,,,,,
SE-00002053,PR-40001112,Long Day Care,Ipswich Kiddie Care Child Care,Affinity Education Group Limited,8-10 Wyndham Street  ,NORTH IPSWICH,QLD,4305,07 3812 1234,,fiona.alston@affinityeducation.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 8:30am to 9:30am and 3:15pm to 4:15pm when it is 78 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 1:00pm and 1:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,68,12/11/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://sites.google.com/site/ipswichchildcare/,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $72.00, 24 months - 5 years: $69.00""",6.00am - 6.00pm,T,,,,,F,F,,T,,,,,,,,,,,,
SE-00001383,PR-00000030,Short Day Care,Ipswich Kindergarten,Ipswich Kindergarten Association Inc,12 Milford Street  ,IPSWICH,QLD,4305,07 3281 1585,3812 4255,ipswichkindergarten@bigpond.com,,50,6/1/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://ipswichkindergarten.com.au/,"""ages 3 years to 4 years""","""36 months - 4 years: $585 per term*""",8.45am - 2.45pm,,,,,,T,$11,F,T,,,,,,,,,,,,
SE-00001950,PR-00001203,Long Day Care,Kindy Patch West Ipswich,G8 KP Pty Ltd,17 - 19 Clay Street  ,WEST IPSWICH,QLD,4305,07 3812 0733,3908 2511,westipswich@kindypatch.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,3/15/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.kindypatch.com.au/centres/kindy-patch-west-ipswich/,"""ages 6 weeks to 4 years""","""6 weeks - 12 months: $78.50, 13 months - 24 months: $77.50, 25 months - 35 months: $75.50, 36 months - 4 years: $74.50""",6.30am - 6.00pm,T,,,,F,F,F,,T,,T,F,,,,,,,,,
SE-00000168,PR-00000233,Long Day Care,North Ipswich Child Care Centre,North Ipswich Child Care Centre Inc,84 Hill St  ,NORTH IPSWICH,QLD,4305,07 3281 0351,07 3281 0355,nicc@gil.com.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,30,9/14/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $74.00""",7.00am - 5.30pm,T,,,,F,F,,,F,,T,F,,,,,,,"Y: 0-24 months, 25-35 months, 36 months - pre-school",,
SE-00000923,PR-00000659,Out of Hours Care*,PCYC Ipswich School Age Care,Queensland Police-Citizens Youth Welfare Association ,Ipswich PCYC  Griffith Road,EASTERN HEIGHTS,QLD,4305,07 3281 2547,07 3812 2417,sonia.ledger@pcyc.org.au,,130,8/2/15,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.ipswichpcyc.org.au/sac/school-aged-care,"""ages 4 years to 16 years""","""4 years - 16 years: $14.00""","""6.30am - 8.30am, 3.00pm - 6.00pm""",T,,,,,T,F,,T,,,,,,,,,,Y: school age,,
SE-00002358,PR-00000659,Out of Hours Care*,PCYC Ipswich-Brassall School Age Care,Queensland Police-Citizens Youth Welfare Association ,Brassall State School  Pine Mountain Road,BRASSALL,QLD,4305,738134361,07 3909 9533,brassallsac@pcyc.org.au,,130,4/28/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 4 years to 16 years""","""4 years - 16 years: $14.00""","""6.30am - 8.30am, 3.00pm - 6.00pm""",T,,,,,T,F,,T,,,,,,,,,,Y: school age,,
