ServiceName,ServiceAddress,Suburb,State,Post Code,Phone Number,Email Address,Website,Fees,Disposable Nappies,Cloth Nappies,Food,Hours,Age,Bus service,Air conditioning
Queensland Child Care Services Woodlands Early Education Centre,Cnr Jarvis & High Rd,Waterford West,QLD,4133,07 3386 1437,woodlands@qccs.com.au,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=33&name=Woodlands+Early+Education+Centre,76,N,N,Y,6:00am - 6:00pm,0 months - 12 years,,,,
The Village I Early Learning Centre,104 Holmead Rd,Eight Mile Plains,QLD,4113,07 3851 0699,management@thevillageelc.com.au,http://www.thevillageelc.com.au/,67,N,N,Y,7:00am - 6:00pm,15 months - 5 years,N,,,
The Village II Early Learning Centre,83 Holmead Rd,Eight Mile Plains,QLD,4113,07 38418855,management@thevillageelc.com.au,http://www.thevillageelc.com.au/,67,N,N,Y,7:00am - 6:00pm,15 months - 5 years,N,,,
Footprints Sunnybank Child Care Centre,357 Beenleigh Rd,Sunnybank,QLD,4109,07 32994594,,,,,,,6:30am - 6:15pm,,,,,
123 Grow,12 Croydon Rd,Logan Central,QLD,4114,07 32977583,info@123grow.biz,www.123grow.com.au,64.5,,,,6:30am - 6:30pm,6 weeks - 5 years,,,,
A Busy Beehive Alexandra Hills,2 Glover Drv,Alexandra Hills,QLD,4161,07 38245929,rogerramjet02@hotmail.com,,66,Y,N,N,6:30am - 6:15pm,13 months - 4 years,,,,
AbleCare Early Learning Centre,10 Station Rd,Burpengary,QLD,4505,07 38889979,childcare@ablecare.com.au,http://www.ablecarekids.info/,,,,,6:00am - 6:00pm,15 months - 12 years,,,,
Acacia Ridge Child Care Centre,7 Mannington Rd,Acacia Ridge,QLD,4110,07 32556699,,,,,,,,,,,,
Active Kids Early Learning Centre,76 Anzac Ave,Hillcrest,QLD,4118,07 38008100,kazmo5@hotmail.com,,,,,,,,,,,
Adeona Early Exploration Centre,1218 Stanley St East,Coorparoo,QLD,4151,07 38432188,info@adeona.com.au,,,,,,,,,,,
Algester Child Care and Preschool Centre,57 Endiandra St,Algester,QLD,4115,07 32735809,,,,,,,,,,,,
Algester- Peppercorn Child Care Centre.,57 Endiandra St,Algester,QLD,4115,07 32735809,,,,,,,,,,,,
All About Kids Early Learning Centre,233 Fryar Rd,Eagleby,QLD,4207,07 38018823,,,,,,,,,,,,
Alphabet Garden Child Care Centre,336 Elizabeth Ave,Clontarf Beach,QLD,4019,07 38832230,,www.alphabet.gardenchildcare.com,,,,,,,,,,
Ariel Childcare Centre & Pre-School,4-6 Ariel Ave,Kingston,QLD,4114,07 38085658,,,,,,,,,,,,
Arlington Drive Premium Childcare,1 Arlington Drv,Arana Hills,QLD,4054,07 38511250,,,,,,,,,,,,
Arnwood Place Community Child Care Centre,21 Arnwood Pl,Annerley,QLD,4103,07 38923408,,,,,,,,,,,,
Ascot Early Childhood,9 Alexandra Rd,Ascot,QLD,4007,07 32684377,,,,,,,,,,,,
Ascot Hendra Child Care & Nursery Centre,16 - 30 Manson Rd,Hendra,QLD,4011,07 32164113,,,,,,,,,,,,
Ascot Hendra Child Care Centre,16 - 20 Manson Rd,Hendra,QLD,4011,07 32164113,,,,,,,,,,,,
Aspley Early Learning Centre,605 Robinson Rd,Aspley,QLD,4034,07 32636104,aelc@bigpond.net.au,www.aspleyearlylearning.com,,,,,,,,,,
Aspley East Kindergarten And Pre-School Association Inc,12 Clorane St West,Aspley,QLD,4034,07 32633292,aspleyeast@optusnet.com.au,,,,,,,,,,,
Aspley Preschool,748 Robinson Rd,Aspley,QLD,4034,07 32631020,,,,,,,,,,,,
Auskids Learning,77 Bunker Road,Victoria Point,QLD,4165,07 32070344,victoriapoint@auskids.com.au,www.auskids.com.au,,,,,,,,,,
Auskids Learning,188 South St,Thornlands,QLD,4164,07 32861244,,,,,,,,,,,,
Aussie Adventures Educational Centres,161 Park Ridge Rd,Park Ridge,QLD,4125,07 38033155,rpitts@hacer.com.au,www.hacer.com.au,,,,,,,,,,
Avenue's Child Care Tricia's Playschool Cannon Hill,Cnr Southgate Ave & Corporate Drv,Cannon Hill,QLD,4170,07 33991233,tricia@avchildcare.com.au,http://avenueschildcare.com.au/locations/cannon-hill/,90.5,N,N,S,7:00am - 6:00pm,6 weeks to 5 years,N,,,
Avenues Early Learning Centre Sunnybank Hills,Cnr Jackson Rd & Beaudesert Rd,Sunnybank Hills,QLD,4109,07 32761222,,,,,,,,,,,,
Avenues Early Learning Centre Norman Park,117 Agnew St,Norman Park,QLD,4170,07 38996000,,,,,,,,,,,,
