ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001932,PR-00000859,Long Day Care,New Leaf Early Learning Centre,Grammar Early Learning Limited ,372 Mons Road   ,FOREST GLEN,QLD,4556,5453 7077,54537295,newleaf@scgs.qld.edu.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 160 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,149,7/4/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.scgs.qld.edu.au/new_leaf/,"""ages 6 weeks to 5 years""","""6 weeks - 35 months: $76.00, 36 months - 5 years: $72.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000520,PR-00000703,Long Day Care,North Buderim Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,1 - 3 Lakeshore Ave  ,NORTH BUDERIM,QLD,4556,07 5476 8333,54768484,NORTHBUDERIMECC@COFCQLD.COM.AU, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,60,4/13/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://cofcc-nthbuderimecc.hubworks.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $73.00, 25 months - 5 years: $71.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-40000296,PR-40000217,Out of Hours Care,School Plus Sunshine Coast Grammar School OSHC,School Plus Foundation Limited,Sunshine Coast Grammar School  372 Mons Rd,FOREST GLEN,QLD,4556,439785092,,marlenedouglas2011@hotmail.com, This service is approved to provide education and care to children from over preschool age including school age children. During School Holidays only.,45,12/15/16,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.schoolplus.com.au/index.php/contact-us/8-sunshine-coast-grammar-school-before-and-after-school-care-opening-may-2014,"""ages 5 years to 12 years""","""VC: $48.00""",7.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000333,PR-00000775,Long Day Care,Toral Lodge Child Care Centre,Pelzie Pty Ltd ATF the Toral Lodge Child Care Trust,6-8Toral Drive   ,BUDERIM,QLD,4556,07 5445 5900,07 5445 5900,kerri@torallodgechildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,10/1/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.torallodgechildcare.com.au/,"""ages 6 weeks to 5 years""",,7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001255,PR-00000528,Short Day Care,Alexandra-Mooloolaba Community Kindergarten and Preschool,Alexandra-Mooloolaba Community Kindergarten & Preschool Assn Inc,14 Coree Court  ,MOOLOOLABA,QLD,4557,07 5444 1135,5444 1135,alexmba@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,3/1/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.alexmooloolabakindy.com.au/,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $27.50""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00011360,PR-00006558,Long Day Care,Bella Grace Early Learning Centre Brightwater ,Bella Grace Brightwater Pty Ltd ATF BG Brightwater Trust  ,Cnr Brightwater Blvd Holloway St   ,MOUNTAIN CREEK,QLD,4557,54939797,54935758,brightwater@bellagrace.com.au, The service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,12/31/15,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.bellagrace.com.au/locations/brightwater-child-care-centre/,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $77.00, 13 months - 24 months: $83.00, 25 months - 35 months: $82.00, 36 months - 6 years: $80.00""",6.30am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000198,PR-00008029,Long Day Care,C&K Mooloolaba Childcare Centre,The Creche and Kindergarten Association Limited,7 Ocean View Street  ,MOOLOOLABA,QLD,4557,07 5444 5433,54445433,j.porteous@candk.asn.au, This service is approved to provide education and care to children from birth up to and including school children.  This service is approved to provide a rest period from 12.00pm to 2.00pm on - Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,60,6/8/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/mooloolaba,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $81.10""",7.15am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00014037,PR-00008029,Short Day Care,C&K Mountain Creek Community Kindergarten ,The Creche and Kindergarten Association Limited,Hermosa Street    ,MOUNTAIN CREEK,QLD,4557,754783395,754783395,mountaincreek@candk.asn.au;, This service is approved to provide education and care to children from 36 months up to and  including over preschool age not including school children.,24,7/21/16,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/mountaincreek,"""ages 3.5 to 5 years""","""3.5 years - 5 years: $29.12""",,,,,,,,,,,,,,,,,,,,,,
SE-00013998,PR-00006559,Out of Hours Care,Helping Hands Brightwater,Helping Hands Network Foundation Ltd,Brightwater State School   20 Dianella Dr,MOUNTAIN CREEK,QLD,4557,0448 086 347,,brightwater@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,45,1/20/16,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.helpinghandsnetwork.com.au/Home.htm,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000952,PR-00006559,Out of Hours Care,Helping Hands Mountain Creek,Helping Hands Network Foundation Ltd,Mountain Creek State Primary School  Lady Musgrave Drive,MOUNTAIN CREEK,QLD,4557,0427 554 866,,mountaincreek@helpinghandsnetwork.com.au, The maximum number of children able to be provided with education and care after school is 127  The maximum number of children able to be provided with education and care before school is 60  The maximum number of children able to be provided with education and care during school holidays is 127  This service is approved to provide education and care to children from over preschool age including school age children.,127,7/12/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.helpinghandsnetwork.com.au/Home.htm,,,,,,,,,,,,,,,,,,,,,,,,
