ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00000817,PR-00000526,Ipswich Family Day Care,Family Day Care Association Queensland Inc,54 Phillip Street  ,ONE MILE,QLD,4305,07 3202 2066,3202 2034,manager@ipswichfamilydaycare.com.au,,0,2/07/15,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002286,PR-00001136,Ipswich Girls' Grammar School Early Education Centre,Board of Trustees of Ipswich Girls' Grammar School Including Ipswich Junior Grammar School,Cnr Queen Victoria Parade   Chermside Road,EAST IPSWICH,QLD,4305,07 34544547,07 3454 4486,kmcardle@iggs.qld.edu.au, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children This service is approved to provide a rest period from 11:00am to 1:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,9/08/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001184,PR-00000777,Ipswich Girls' Grammar School Out Of School Hours Care,Ipswich Girls' Grammar School Including Ipswich Junior Grammar School,Chermside Road  ,IPSWICH,QLD,4305,07 3281 4300,07 3812 2175,kmcardle@iggs.qld.edu.au,,65,14/09/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001892,PR-00000840,Ipswich Grammar School - Before and After School Care,Ipswich Grammar School,Darling Street  ,IPSWICH,QLD,4305,07 38139630,32801384,basc@ipswichgrammar.com,,80,19/12/12,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002053,PR-40001112,Ipswich Kiddie Care Child Care,Affinity Education Group Limited,8-10 Wyndham Street  ,NORTH IPSWICH,QLD,4305,07 3812 1234,,fiona.alston@affinityeducation.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 8:30am to 9:30am and 3:15pm to 4:15pm when it is 78 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 1:00pm and 1:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,68,11/12/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001383,PR-00000030,Ipswich Kindergarten,Ipswich Kindergarten Association Inc,12 Milford Street  ,IPSWICH,QLD,4305,07 3281 1585,3812 4255,ipswichkindergarten@bigpond.com,,50,1/06/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001950,PR-00001203,Kindy Patch West Ipswich,G8 KP Pty Ltd,17 - 19 Clay Street  ,WEST IPSWICH,QLD,4305,07 3812 0733,3908 2511,westipswich@kindypatch.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,15/03/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000168,PR-00000233,North Ipswich Child Care Centre,North Ipswich Child Care Centre Inc,84 Hill St  ,NORTH IPSWICH,QLD,4305,07 3281 0351,07 3281 0355,nicc@gil.com.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,30,14/09/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000923,PR-00000659,PCYC Ipswich School Age Care,Queensland Police-Citizens Youth Welfare Association ,Ipswich PCYC  Griffith Road,EASTERN HEIGHTS,QLD,4305,07 3281 2547,07 3812 2417,sonia.ledger@pcyc.org.au,,130,2/08/15,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002358,PR-00000659,PCYC Ipswich-Brassall School Age Care,Queensland Police-Citizens Youth Welfare Association ,Brassall State School  Pine Mountain Road,BRASSALL,QLD,4305,738134361,07 3909 9533,brassallsac@pcyc.org.au,,130,28/04/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002214,PR-40000066,Play & Learn Child Care - Raceview,Lakota (Queensland) Pty Ltd,106 Cemetery Road   ,RACEVIEW,QLD,4305,3812 1661,38122699,info@playandlearnchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,18/08/13,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,,,,,,,,,,,,,,,,,,,,,,,,,
SE-40000747,PR-00000910,Quality School Age Care Services- Brassall,Melita Frances Shaw,2 Pommer St  ,BRASSALL,QLD,4305,432240180,,melitashaw@optusnet.com.au, The service is approved to provide education and care to children during school holidays only,40,22/09/16,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000169,PR-00000703,Raceview Community Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,219 Whitehill Road  ,RACEVIEW,QLD,4305,07 3288 8772,07 3288 8428,raceviewcecc@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,54,2/08/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001529,PR-00000620,Raceview Congregational Pre School and Kindergarten,Raceview Congregational Fellowship Inc,117 Wildey Street  ,RACEVIEW,QLD,4305,07 3294 1199,,glendachandler@ymail.com,,24,1/06/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000573,PR-00001152,Raceview Kids Early Learning Centre,Fayzaan Investments Pty Ltd ATF the Matfa Australia Trust,80 Thornton Street  ,RACEVIEW,QLD,4305,32889944,32889914,director@raceviewkids.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 8:00am to 9:00am and 3:00pm to 4:00pm when it is 107 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,100,29/06/15,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001195,PR-00000536,Raceview State School P&C Association Outside School Hours Care,Raceview State School P & C Association,Raceview State School  98 Wildey Street,RACEVIEW,QLD,4305,07 3389 8454,07 3389 8454,roshc@optusnet.com.au,,60,16/08/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00002181,PR-00000091,Roderick St Community Pre-School and Kindergarten,Roderick Street Community Preschool & Kindergarten Assoc Inc,4 Cribb Street  ,SADLIERS CROSSING,QLD,4305,3281 5951,3202 4629,roderickstkindy@bigpond.com,,24,28/01/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001047,PR-00000702,St Joseph's Outside School Hours Care North Ipswich,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Pine Mountain Road  ,NORTH IPSWICH,QLD,4305,07 3201 7592,32017592,northipswich@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P 18 Accessibility within MP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,90,21/09/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001041,PR-00000702,St Mary's Ipswich Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Mary's Primary School  Mary Street,WOODEND,QLD,4305,07 3281 9381,07 3812 3911,ipswichoshc@bne.centacare.net.au,,105,14/02/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002015,PR-00001154,Sunkids Children's Centre - Yamanto,Ocean Investments Qld Pty Ltd ATF the Childcare Zone Trust,7 Leonard Street  ,YAMANTO,QLD,4305,07 3288 0044,07 3288 0200,yamanto@sunkids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternate solution relating to Performance Criteria 7 Sluicing Facilities within MP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 23 November 2005) applies to this service. This service is approved to provide a rest period from 11:30am to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,12/09/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002040,PR-40001112,Village Kids Childrens Centre - Ipswich,Affinity Education Group Limited,199 Warwick Road  ,CHURCHILL,QLD,4305,07 3810 0700,3810 0799,ipswich@villagekids.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 87 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,10/07/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001656,PR-00000081,Winston Glades Early Education Centre & Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,133 Kensington Drive  ,FLINDERS VIEW,QLD,4305,07 3288 9655,07 3801 5144,winstonglades@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,117,30/08/15,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Working Towards NQS
SE-00001451,PR-00000037,Yamanto Community Kindergarten and Preschool,Yamanto Community Kindergarten and Pre School Assoc Inc,125 Equestrian Drive  ,YAMANTO,QLD,4305,07 3288 8713,,yamantokindergarten@bigpond.com,,25,1/02/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00001983,PR-00001154,1 2 3 4 Kids,Ocean Investments Qld Pty Ltd ATF the Childcare Zone Trust,Cnr Junction Rd and Krystyna Ct  ,KARALEE,QLD,4306,07 3294 7455,07 3344 5245,1234kids@gcaweb.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,14/10/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000559,PR-00004831,Amberley Child Care Centre,Mission Australia Early Learning Services Limited,Gannett Street  ,AMBERLEY,QLD,4306,07 5464 3144,5464 3400,LobegeigerN@missionaustralia.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,62,12/05/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001808,PR-00001238,Bush Kidz,Trinity Childcare Pty Ltd,19 Eleazar Drive  ,BLACKSOIL,QLD,4306,07 3201 4231,07 3201 4231,bushkidz@bushkidz.com.au, This service is approved to exceed the approved number of places during the period from Exceed max capacity – Monday to Friday between the hours of 3:30pm and 5:30pm when it is 180 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00 pm Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,169,2/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001280,PR-00008029,C&K Blackbutt Community Kindergarten,The Creche and Kindergarten Association Limited,36 Sutton Street  ,BLACKBUTT,QLD,4306,07 4163 0553,,blackbutt@candk.asn.au, This service is approved to operate for 20 hours or less a week.,16,23/08/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001304,PR-00008029,C&K Mt Crosby Community Kindergarten,The Creche and Kindergarten Association Limited,Mt Crosby Community Hall  Stumers Rd,MOUNT CROSBY,QLD,4306,07 3201 1534,07 3201 1534,mobile4@candk.asn.au,,21,11/05/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001100,PR-00002539,Camp Australia - West Moreton Anglican College OSHC,Camp Australia Pty Limited,Keswick Road  ,KARRABIN,QLD,4306,07 3813 4587,07 3813 4566,rosa@campaustralia.com.au,,100,6/09/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000364,PR-00001129,Goodstart Early Learning Fernvale,Goodstart Early Learning Ltd,4 Davillea Court  ,FERNVALE,QLD,4306,5426 7608,5426 7608,kdv@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,1/12/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-40000995,PR-00001129,Goodstart Early Learning Peak Crossing,Goodstart Early Learning Ltd,1323 Ipswich Boonah Road  ,PEAK CROSSING,QLD,4306,07 5467 2471,,gst@goodstart.org.au,,22,24/07/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
