Service Approval Number,Provider Approval Number,Service Name,Provider LegalName,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,Number Of Approved Places,Service Approval Granted Date,Quality Area 1 Rating,Quality Area 2 Rating,Quality Area 3 Rating,Quality Area 4 Rating,Quality Area 5 Rating,Quality Area 6 Rating,Quality Area 7 Rating,Overall Rating,Type of care,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory 
SE-00002305,PR-00000697,Amana Family Day Care Scheme,Lutheran Church of Australia Queensland District,8 Laurel Street  ,WOODRIDGE,QLD,4114,07 3208 0882,07 3208 0374,amana.fdc@qlecs.org.au,,0,26/05/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-40000655,PR-40000259,Aurukun Campus of CYAAA Pre-Prep Program,State of Queensland (Acting through Department Education Training and Employment),Wuungkam Street  ,AURUKUN,QLD,4871,07 4060 6127,07 4060 6143,the.principal@aurukunss.qld.edu.au,,24,23/04/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000786,PR-00000697,Beenleigh Family Day Care,Lutheran Church of Australia Queensland District,81 City Road  ,BEENLEIGH,QLD,4207,07 3807 1579,3807 7450,manager@beenleighfamilydaycare.com,,0,22/06/10,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001867,PR-00000081,Bellbowrie Early Education Centre and Preschool ,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,3 Church Road  ,BELLBOWRIE,QLD,4070,32029100,,bellbowrie@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,119,25/01/11,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000554,PR-00000081,Bellmere Early Education Centre and Pre-School,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,184 Bellmere Rd  ,Bellmere,QLD,4510,07 5498 3737,5428 0137,bellmere@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,27/09/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000342,PR-00000081,Bethania Early Education Centre and Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,66 Station Road  ,BETHANIA,QLD,4205,07 3805 1375,3299 7285,bethania@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 85 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,28/03/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002221,PR-00000697,Bethania Lutheran Kindergarten,Lutheran Church of Australia Queensland District,66 Glastonbury Drive  ,BETHANIA,QLD,4205,32005829,35114051,bethania.kgt@qlecs.org.au, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children,40,13/12/10,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000936,PR-00000697,Bethania Lutheran Outside School Hours Care,Lutheran Church of Australia Queensland District,66 Glastonbury Drive  ,BETHANIA,QLD,4205,07 3805 3666,07 3805 3666,bethaniaoshc@qlecs.org.au, This service is approved to provide education and care to children from over preschool age including school children.,45,25/11/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001886,PR-00000697,Bethany Lutheran Community Kindergarten,Lutheran Church of Australia Queensland District,86 Raceview Street  ,RACEVIEW,QLD,4305,07 3288 8799,07 3288 6935,bethany.kgt@qlecs.org.au,,20,29/05/09,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000828,PR-00000526,Blue River Family Day Care,Family Day Care Association Queensland Inc,256 Bedford Road  ,ANDERGROVE,QLD,4740,07 4955 2792,4955 4188,blueriver@fdcaq.com.au,,0,8/09/11,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000599,PR-00000771,Brisbane Adventist College Early Learning Centre,Seventh Day Adventist Schools (South Queensland) Limited,303A Broadwater Rd  ,MANSFIELD,QLD,4122,07 3347 6403,3347 6482,elc@bac.qld.edu.au , This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,50,24/03/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001751,PR-00000771,Brisbane Adventist College Out Of School Hours Care,Seventh Day Adventist Schools (South Queensland) Limited,303A Broadwater Rd  ,MANSFIELD,QLD,4122,3347 6403,3347 6482,elc@bac.qld.edu.au,,30,12/10/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000794,PR-00000526,Brisbane Family Day Care,Family Day Care Association Queensland Inc,Unit 2/7 Birubi Street  ,COORPAROO,QLD,4151,33973655,,brisbanefdc@fdcaq.com.au,,0,30/06/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000795,PR-00000526,Brisbane South Family Day Care,Family Day Care Association Queensland Inc,7A 192 Evans Road  ,SALISBURY,QLD,4107,07 3216 7677,07 3216 7577,brissouth@fdcqld.org,,0,3/06/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000804,PR-00000773,Bundaberg Baptist Family Day Care Scheme Inc,The Baptist Union of Queensland,14 Fitzgerald Street  ,BUNDABERG SOUTH,QLD,4670,07 4152 9233,07 4152 7468,info@fdcbundaberg.org.au,,0,23/08/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000391,PR-00000081,Busy Learners Early Education Centre and Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,41 Yulan Street  ,INALA,QLD,4077,07 3278 7033,3278 7693,busylearners@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 80 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,5/10/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001647,PR-00000081,Caboolture Central Early Education Centre & Pre School,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,19-21 George Street   ,CABOOLTURE,QLD,4510,5428 3831,5428 3825,cabcentral@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,92,8/07/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000078,PR-00000288,Campus Kindergarten & Day Care,Campus Kindergarten Ltd,Building 73 College Road  ,UNIVERSITY OF QUEENSLAND,QLD,4072,07 3365 3894,3365 4420,campus.kindergarten@uq.edu.au, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children,65,3/08/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000830,PR-00000526,Capricornia Family Day Care,Family Day Care Association Queensland Inc,27 Bolsover Street  ,ROCKHAMPTON,QLD,4700,4927 9577,07 4927 8425,info@capricornia.fdcqld.org,,0,30/08/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001316,PR-00000697,Centenary Christian Kindergarten and Preschool,Lutheran Church of Australia Queensland District,10 Beanland Street  ,MIDDLE PARK,QLD,4074,07 3279 3351,3279 5642,cck.office@icloud.com,,49,12/05/11,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00000793,PR-00000703,Centenary Family Day Care,Churches of Christ In Queensland Churches of Christ Care,17 Intrepid Street  ,JAMBOREE HEIGHTS,QLD,4074,07 3279 0117,3279 1142,sue.stephens@cofcqld.com.au,,0,29/06/11,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00000812,PR-00000526,Central Highlands Family Day Care Scheme,Family Day Care Association Queensland Inc,44 School Lane  ,EMERALD,QLD,4720,07 4982 0577,4987 5354,hgersbach@anglicarecq.org.au,,0,2/09/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-40000673,PR-40000259,Cherbourg State School Pre-Prep Program,State of Queensland (Acting through Department Education Training and Employment),Fisher St  ,CHERBOURG,QLD,4605,41699333,41699300,psans3@eq.edu.au,,25,24/04/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000532,PR-00000081,Chermside Early Education Centre and Pre-School,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,24 Kuran Street  ,CHERMSIDE,QLD,4032,07 3359 1899,3359 9519,Chermside@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 86 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,21/06/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000809,PR-00000703,Chinchilla and District Family Day Care Scheme,Churches of Christ In Queensland Churches of Christ Care,16 Villiers Street  ,CHINCHILLA,QLD,4413,07 4668 9521,4668 9153,chinchillafdc@cofcqld.com.au,,0,30/08/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00001639,PR-00000703,Chinchilla Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,14 Villiers Street  ,CHINCHILLA,QLD,4413,4668 9412,,chinchillaecc@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,29,23/06/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40000781,PR-00000703,Churches of Christ Care Community Kindergarten Cunnamulla,Churches of Christ In Queensland Churches of Christ Care,59 Stockyard Street  ,CUNNAMULLA,QLD,4490,07 46552269,,jenny.neal@cofcqld.com.au,,22,5/07/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000751,PR-00000703,Churches Of Christ Care Early Childhood Centre Cunnamulla,Churches of Christ In Queensland Churches of Christ Care,59 Stockyard Street  ,CUNNAMULLA,QLD,4490,07 4655 8432,,marsha.bolitho@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,22,4/07/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS
SE-00000766,PR-00000073,Communify Childcare Qld,Communify Queensland Inc,180 Jubilee Terrace  ,BARDON,QLD,4065,07 3510 2711,3366 7845,childcare@communify.org.au, This service is approved to provide education and care to children from children from 15 months up to and including over preschool age not including school children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,21,27/03/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
