ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities?,Additional Activities,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology?,Technology,Sibling Priority,Vacancies,Languages?,Languages,Vaccinations Compulsory
SE-00001713,PR-00000364,Child care,Brisbane City Child Care ,Brisbane City Child Care Pty Ltd,86 Astor Tce  ,BRISBANE,QLD,4000,3832 1219,07 38321219,bccc1@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria P5 Outdoor play facilities within Part 22 Child Care Centres of the Queensland Development Code (with a publication date of 1 September 2003) applies to Level 1 of this service: Shrubs contained in planter boxes must continue to be located in the outdoor play area and be equivalent of 4% of the minimum outdoor play space required for this area (i.e. 9.8sqm) Opportunities for sand play water play and interaction with other natural materials must be included in the daily program; and This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,142,5/31/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,www.bccc.net.au,6 weeks - 5 years,"""0 - 24months: $119.00, 25 - 36months: $109.00, 3 - 5years: $104.60""",6:30 am to 6:30 pm,T,T,F,,,F,$30.00,F,T,,,,,,,,,,,,,,,
SE-40001685,PR-00008029,Child care,C&K QUT Gardens Point Community Childrens Centre,The Creche and Kindergarten Association Limited,Qut Gardens Point Campus X Block  2 George St,BRISBANE CITY,QLD,4000,07 31381690,,d.chappell@candk.asn.au,,29,2/3/14,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/ck-qut-gardenÕs-point-community-childcare-centre,6 weeks - 6 years,"""0 - 24months: $105.00, 2 - 3years: $105.00, 3 - 5years: $100.00""",7:30am - 5:30pm,,F,F,,,T,,,F,,,,,,,,,,,,,,,
SE-00001778,PR-00001129,Child care,Goodstart Early Learning Brisbane,Goodstart Early Learning Ltd,Podium Level Ventyx Building  192 Ann Street,BRISBANE,QLD,4000,07 3220 0522,,mcm@goodstart.org.au, An approved alternative solution relating to Performance Criteria P5 Outdoor play facilities within Part 22 Child Care Centres of the Queensland Developmental Code (with a publication date of 1 November 2004) applies to this service: Shrubs and palms contained in planter boxes must continue to be located as described in the playscape concept plan (pod 6) and range in height from 1.2 to 3 metres. Programming must provide opportunities for children to participate in gardening activities. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,11/29/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.goodstart.org.au/centres/brisbane/services,6 weeks - 5 years,"""0 - 12months: $114.50, 13 - 24months: $111.40, 25 - 35months: $106.80, 36months - preschool age: $102.10, over preschool age: $102.10""",6:15am - 6:15pm,T,T,F,,F,F,,,F,,,,,,,,,,,,Y: 2 - 3 years,,,
SE-00000086,PR-00000144,Child care,Holy Family Child Care Centre,Corporation of the Order of the Canossian Sisters,25 Royal Avenue  ,SPRING HILL,QLD,4000,07 3839 6332,3839 6332,hfccspringhill@yahoo.com.au, This service is approved to provide a rest period from 1:00pm to 2:30pm on Monday  to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 24 months up to and including over preschool age not including school children.,57,5/9/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,13 months - 5 years,"""13 months - 5 years: $60.00""",7:30am - 5:30pm,F,F,F,,,F,,,F,,,,,,,,,,,,"Y: 3 - 4 years, 4 - 5 years",,,
SE-00002093,PR-00000975,Child care,Kids Academy Spring Hill,Kids Academy Spring Hill Pty Ltd,Ground Floor Oxygen Building  170 Leichhardt Street,SPRING HILL,QLD,4000,07 3839 4700,,springhill@kidsacademy.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,1/12/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,http://www.kidsacademy.com.au/,6 weeks -5 years,"""0 - 12months: $100.00, 13 - 24months: $100.00, 25 - 35months: $98.00, 36months - preschool age: $94.00, over preschool age: $89.00""",7:00am - 6:00pm,T,F,T,T,F,T,,,F,,,,,,T,,,T,,T,"Y: 15 - 30 months, 2 - 3 years, 3 - 4 years, 4 - 5 years",,,
SE-00000447,PR-00000101,Child care,Lady Gowrie Quarry Street Child Centre,The Gowrie (Qld) Inc.,41 Quarry Street  ,SPRING HILL,QLD,4000,07 3839 3114,3839 5798,peta.mcculloch@ladygowrie.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 1:00pm and 1:45pm to 2:45pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,55,8/16/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.gowrieqld.com.au/childrens-programs/long-day-care/,6 weeks - 5 years,"""0 - 12months: $79.00, 13 - 24months: $79.00, 25 - 35months: $76.00, 36months - preschool age: $74.00""",7:30am - 5:45pm,F,F,F,,,F,$55.00,F,F,,,,,,,,,,,,Y: 4 - 5 years,,,
SE-00000085,PR-00000101,Child care,Lady Gowrie Warry Street Child Centre,The Gowrie (Qld) Inc.,171 Warry Street  ,FORTITUDE VALLEY,QLD,4121,07 3252 2476,3252 9231,cassie.bell@ladygowrie.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 11:00am to 12:00pm and 1.30pm to 2.30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,62,8/15/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.gowrieqld.com.au/childrens-programs/long-day-care/,6 weeks -  5 years,"""0 - 12months: $79.00, 13 - 24months: $79.00, 25 - 35months: $76.00, 36months - preschool age: $74.00""",7:30am - 5:45pm,Y,F,F,,,F,,,F,,,,,,,,,,,,,,,
SE-00001547,PR-00000659,OSHC,PCYC Fortitude Valley - Brisbane Central School Age Care,Queensland Police-Citizens Youth Welfare Association ,Brisbane Central State School  Rogers Street,SPRING HILL,QLD,4000,0407 578 273,07 3357 1310,briscentralsac@pcyc.org.au, The service is approved to provide education and care to children before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,45,7/10/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://valleypcyc.com/school-age-care/,5 - 12 years,"""BSC: $12.00 - $15.00, ASC: $18.50 - $21.50""","""BSC: 7:00 - 8:45am, ASC: 3:00 - 6:00pm, VC: $7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002094,PR-00000937,Child care,River City World Of Learning,World of Learning Pty Limited,4/95 Boundary Street  ,BRISBANE,QLD,4000,07 3832 4646,07 3291 9799,rivercity@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,1/10/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.worldoflearning.com.au/centres/river-city-world-of-learning/,6 weeks - 5 years,"""0 - 12months: $111.00, 13 - 24months: $108.00, 25 - 35months: $108.00, 36months - preschool age: $100.00""",6:30am - 6:30pm,T,T,F,,,T,,,T,,,,,,,,,,,,Y: 2 - 3 years,,,
SE-00001748,PR-00000692,Child care,Smarter Kids On Edward,Preschool Services Australia Pty Ltd ATF Karen Williams Family Trust,Level One  288 Edward Street,BRISBANE,QLD,4000,07 3211 7737,3211 7730,brisbane@smarterkids.com.au, At all times there are an adequate number of additional staff available to assist in evacuations. This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,59,11/30/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.smarterkids.com.au/,6 weeks - 5 years,"""0 - 15months: $106.00, 15months - 3years: $104.00, 3 - 5years: $95.00""",7:00am - 6:00pm,T,F,F,T,F,T,,,F,,,,,,,,,,,,"Y: 6weeks - 24 months, 30 months - 3 years, 3 - 6 years",,,
