ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00002018,PR-00000685,Child care,Molly's House,Zerotofive (Qld) Pty Ltd,139 Turner Road  ,KEDRON,QLD,4031,07 3350 5023,,julie@mollyshouse.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 35 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,31,4/7/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://mollyshouse.net.au/,18 months - 5 years,"""18 months - 3 years: $90.00, 3 - 5 years: $87.00""",7:00am - 6:00pm,F,F,F,,,F
SE-00002039,PR-00000533,OSHC,YMCA Kedron Outside School Hours Care,The Young Men's Christian Association of Brisbane,Lecke Road  ,KEDRON,QLD,4031,3350 5333,07 3350 5077,akd@ymca.org.au, This service is approved to provide education and care to children from over preschool age including school children.,60,1/31/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.ymcachildcare.com.au/ymca-ohsc-services/brisbane-north/kedron-oshc,5 - 12 years,"""BSC: $12.50, ASC: $17.50, VC: $43.00""","""BSC: 6:30 - 9:00am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000406,PR-00000216,Child care,Bright Beginnings Child Edu-Care Centre ,Bright Beginnings Pty Ltd,687 Hamilton Road  ,CHERMSIDE WEST,QLD,4032,07 3350 4300,07 3359 2754,admin@bright-beginnings.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,114,7/20/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://bright-beginnings-014t.squarespace.com/,6 weeks - 5 years,"""6 weeks - 2 years: $83.50, 2 - 3 years: $76.50, 3 - 5 years: $75.50""",7:00am - 6:00pm,F,F,F,,,F
SE-00000532,PR-00000081,Child care,Chermside Early Education Centre and Pre-School,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,24 Kuran Street  ,CHERMSIDE,QLD,4032,07 3359 1899,07 3359 9519,Chermside@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 86 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,6/21/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=8&name=Chermside+Early+Education+Centre+%26+Pre-school,6 weeks - 5 years,,,,,,,,T
SE-00001334,PR-00000329,School hours care,Craigslea Kindergarten & Preschool Assoc Inc,Craigslea Kindergarten & Preschool Association Inc,23 Marban Street  ,CHERMSIDE WEST,QLD,4032,07 3359 1827,07 3359 3295,craigsleakindy@bigpond.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,1/4/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.craigsleakindy.com.au/,4 - 5 years,"""4 - 5 years: $28.00 per day + $25 per term maintenance fee""",8:45am - 2:50pm,F,F,F,,,F
SE-00001109,PR-00000309,OSHC,Craigslea Outside School Hours Care,Craigslea State School P&C Association,Craigslea State School  Hamilton Road,CHERMSIDE WEST,QLD,4032,07 3256 3688,07 3256 3620,craigslea.oshc@bigpond.com.au, This service s approved to provide education and care to children from over preschool age including school children.,85,11/21/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://craigsless.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $11.00, ASC: $16.00, VC: $36.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F
SE-00002014,PR-40000815,Child care,Guppy's Early Learning Centre,Guppys ELC Pty Ltd ATF Parkross Family Trust,5-7 Maundrell Terrace  ,CHERMSIDE WEST,QLD,4032,07 3861 4675,07 3861 4407,suzanne@guppys.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children. This service is approved to provide rest period from 12.30pm to 2:30pm on Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,123,6/14/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,www.guppys.com.au,6 weeks - 5 years,"""6 weeks - 15 months: $83.00, 15 months - 3 years: $84.00, 3 - 5 years: $79.00""",6:30am - 6:30pm,T,F,F,,,T
SE-00001930,PR-00000856,Child care,Hamilton Road Early Education Centre,Hamilton Road Early Education Centre Pty Ltd,697 Hamilton Road  ,CHERMSIDE WEST,QLD,4032,07 3630 5588,07 3630 5585,hamilton@qccs.com.au, This service is approved to provide education and care to children from birth up to and including school children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,8/10/09,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.earlyeducationcentres.com.au/hamiltonrd/,6 weeks - 5 years,"""6 weeks - 24 months: $84.00, 2 - 4 years: $80.00, 4 - 5 years: $67.00"" ",6:30am - 6:30pm,T,F,F,,,F
SE-00002359,PR-00000693,Child care,Little Marchants Child Care Centre,The Uniting Church in Australia Property Trust (Q.),930 Gympie Road  ,CHERMSIDE,QLD,4032,07 36212098,07 3621 4555,d.holman@wmb.org.au, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,20,9/7/11,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,http://www.wmb.org.au/page/Services/Child_Care/,6 weeks -  5 years,"""6 weeks - 24 months: $72.50, 2 - 3 years: $72.50, 3 - 5 years: $70.50""",6:30am - 5:30pm,T,F,F,,,F
SE-00002330,PR-00000702,Child care,Majella Early Years Centre,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,146 Maundrell Terrace  ,CHERMSIDE WEST,QLD,4032,07 3350 1244,07 3244 2555,dir.chermsidewestldc@bne.centacare.net.au, This service is approved to continue to use an educator to child ratio of 1:5 children from 15 months to 24 months of age. This ratio applies for children 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,10/7/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stgerardmajella.com.au/childcare.html,6 weeks - 5 years,"""6 weeks - 18 months: $82.40, 18 - 30 months: $80.40, 2 - 3 years: $80.40, 3 - 5 years: $78.40""",7:00am - 6:00pm,T,F,F,,,F
