#
# Source: CA DSS on June 1, 2014
#
"Facility #","Capacity","License Status","Facility Name","Street Address","City","State","Zipcode","Telephone #","Contact","District Office","DO Telephone #"
"198016140","0045","Licensed","1.2.3. CHRISTIAN MISSION","811 S. MANHATTAN PL.","LOS ANGELES","CA","90005","(213) 830-1123","JIN KYUNG LEE","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"197416900","0022","Licensed","107TH. STREET ELEMENTARY SCHOOL CSPP/HEAD START","146 EAST 107TH. STREET ROOM K4","LOS ANGELES","CA","90003","(323) 756-8137","RIOS, REUBEN M.","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191607790","0043","Licensed","10TH STREET PRESCHOOL","1444 10TH STREET","SANTA MONICA","CA","90401","(310) 458-4088","WASSON, CINDY","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197416698","0023","Licensed","186TH STREET ELEMENTARY SCHOOL CSPP","1581 WEST 186TH STREET ROOM 9","GARDENA","CA","90248","(310) 324-1153","REED, MARCIA S.","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"304370894","0086","Pending","1ST CHOICE CREATIVEDU, INC.","5832 FULLERTON AVENUE","BUENA PARK","CA","90621","(714) 853-3372","KONG, MICHELLE","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"384001195","0027","Licensed","1ST PLACE 2 START","1252 SUNNYDALE AVE","SAN FRANCISCO","CA","94134","(415) 333-2659","SANDRA DAVIS","PENINSULA CHILD CARE (05)","(650) 266-8843"
"197419152","0092","Licensed","24TH STREET EARLY ED. CENTER","2101 WEST 24TH STREET","LOS ANGELES","CA","90018","(323) 733-2164","REYES, JORGE","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"191222366","0072","Licensed","31ST DIST PTSA CREATIVE KIDS- CHATSWORK PARK ELEM","22005 DEVONSHIRE ST.","CHATSWORTH","CA","91311","(818) 481-4583","GINA BROWN","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"191222368","0036","Licensed","31ST DIST PTSA CREATIVE KIDS-SUPERIOR STREET","9756 OSO AVE.","CHATSWORTH","CA","91311","(818) 220-8182","JENNY MEDINA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"434411608","0082","Licensed","3D PRESCHOOL","5370 SNELL AVENUE","SAN JOSE","CA","95123","(408) 227-2840","MEENAKSHI GOKHALE","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"434411582","0060","Licensed","4C CHILD DEVELOPMENT CENTER-CHECKERS","302 CHECKERS DRIVE","SAN JOSE","CA","95133","(408) 487-0747","THUY-DIEM DINH","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"434411979","0065","Licensed","4C EARLY LITERACY PROGRAM-NORTHSIDE","488 N 6TH STREET","SAN JOSE","CA","95112","(408) 487-0747","JUANA CASTILLO","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"493008487","0048","Licensed","4C'S APPLES & BANANAS - ROSELAND","950 SEBASTOPOL ROAD","SANTA ROSA","CA","95407","(707) 544-3077","SAENZ, NEIRA","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"493008488","0024","Licensed","4C'S APPLES & BANANAS - SHEPPARD","1931 BIWANA DRIVE","SANTA ROSA","CA","95407","(707) 544-3077","VERA, MARLENE","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"493008615","0040","Licensed","4C'S BENNETT VALLEY CHILD DEVELOPMENT CENTER","2250 MESQUITE DRIVE","SANTA ROSA","CA","95405","(707) 526-4504","BERRY, JUDITH ANN","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"434408923","0045","Licensed","4C'S CHILD DEVELOPMENT CENTER","2055 SUMMERSIDE DRIVE","SAN JOSE","CA","95122","(408) 298-8656","JEANETTE BENEDICT","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"434408977","0023","Licensed","4C'S CHILD DEVELOPMENT CENTER","1290 BAL HARBOR WAY","SAN JOSE","CA","95122","(408) 251-1110","NATIVIDAD DELA ROSA","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"493008692","0024","Licensed","4C'S FLOWERY PRESCHOOL","17600 SONOMA HWY.","SONOMA","CA","95476","(707) 935-6060","CAMPOS, EDELMIRA","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"490109269","0040","Licensed","4C'S HEALDSBURG CHILD DEVELOPMENT CENTER","555 NORTH STREET","HEALDSBURG","CA","95448","(707) 433-2556","BARLOW,LORRAINE","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"493004931","0042","Licensed","4C'S OLD ELM CHILD DEVELOPMENT CENTER","305 W. PAYRAN STREET, STE #C","PETALUMA","CA","94952","(707) 782-0408","HINCHER, NATALIE","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"493005826","0045","Licensed","4C'S PAULIN CREEK CDC - PRESCHOOL","2614 PAULIN DRIVE","SANTA ROSA","CA","95403","(707) 565-3420","EVANS, DIANE","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"490109272","0054","Licensed","4C'S PETALUMA CHILD DEVELOPMENT CENTER","401 S MC DOWELL","PETALUMA","CA","94952","(707) 763-4990","DUSEK, LINDA","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"490109271","0048","Licensed","4C'S SONOMA CHILD DEVELOPMENT CENTER","620 5TH STREET","SONOMA","CA","95476","(707) 996-3494","MARIA BURTON","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"493006901","0024","Licensed","4C'S WILLOW CREEK STATE PRESCHOOL","2536 MARLOW ROAD","SANTA ROSA","CA","95403","(707) 528-2813","GARRETSON, IDA","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"493006190","0040","Licensed","4C'S WINDSOR STATE PRESCHOOL","79 PLEASANT AVENUE","SANTA ROSA","CA","95403","(707) 836-7068","GRAHAM, CHRISTINA","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"493008727","0024","Licensed","4CS GOLD RIDGE PRESCHOOL","1455 GOLF COURSE DRIVE","ROHNERT PARK","CA","94928","(707) 544-3077","PFEIFER, ANDREA","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"493007197","0024","Licensed","4CS KAWANA STATE PRESCHOOL","2121 MORAGA DR.","SANTA ROSA","CA","95404","(707) 542-4517","CAMPOS, EDELMIRA","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"198017132","0144","Licensed","4TH STREET EARLY EDUCATION CENTER","421 S. HILLVIEW AVENUE","LOS ANGELES","CA","90022","(213) 241-7511","JOSEFINA NAVARRO","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"198001351","0054","Licensed","92ND & MAIE CHILD DEVELOPMENT CENTER","9200 MAIE AVE.","LOS ANGELES","CA","90002","(323) 249-0621","GABRIELA GARCIA","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"197416902","0024","Licensed","99TH STREET ELEMENTARY SCHOOL CSPP/HEAD START","9900 S.WADSWORTH AVE.RMS 12,13","LOS ANGELES","CA","90002","(323) 564-2677","WILLIAMS, SHERRI D.","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191204677","0090","Licensed","A + ADVENTIST CHILDREN'S CENTER","234 N. ISABEL STREET","GLENDALE","CA","91206","(818) 241-9353","MALISA SMITH","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"103801760","0036","Licensed/Pending Increase","A BETTER CHOICE PRESCHOOL","3225 E. GETTYSBURG AVENUE","FRESNO","CA","93726","(559) 227-5437","DIXON, LEOME","FRESNO-CC (04)","(559) 243-4588"
"192006441","0045","Licensed","A BRIGHT BEGINNING CHILD DEVELOPMENT CENTER","712 EAST MANCHESTER BOULEVARD","INGLEWOOD","CA","90301","(310) 673-4525","DINA REED","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197411253","0036","Licensed","A BRIGHT BEGINNING, INC.","503 S. PRAIRIE","INGLEWOOD","CA","90301","(310) 693-0700","NICOLE THOMPSON","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197415672","0098","Licensed","A BRIGHT BEGINNING, INC.","2440 MANCHESTER BLVD.","INGLEWOOD","CA","90305","(323) 753-0043","KEYS, LASHAWNDA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"393617409","0024","Licensed","A BRIGHT PROMISE PRESCHOOL","17270 GOLDEN VALLEY PARKWAY","LATHROP","CA","95330","(209) 922-9338","ANDERSON, WILLIE L. DR.","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"334840374","0022","Licensed","A BRIGHTER FUTURE CHILD DEVELOPMENT CENTER","1068 E. MAYBERRY AVENUE","HEMET","CA","92543","(951) 269-9045","MARIA HUNTER","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"197418706","0012","Licensed/Pending Increase","A BRIGHTER FUTURE LEARNING CENTER","9400 S. WESTERN AVENUE","LOS ANGELES","CA","90047","(323) 756-1335","DUFFIE, CHONTE","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"376600130","0108","Licensed","A BRIGHTER FUTURE PRESCHOOL & CDC","3422 TRIPP COURT","SAN DIEGO","CA","92121","(858) 794-9130","SANDY EDWIN","MISSION VALLEY (20)","(619) 767-2200"
"376700063","0038","Licensed","A CHILD'S CENTER OF WONDER & DISCOVERY","9841 VINE STREET","LAKESIDE","CA","92040","(619) 443-4834","WHITMORE, HARRIET","MISSION VALLEY (20)","(619) 767-2200"
"444408848","0045","Licensed","A CHILD'S CONNECTIONS","106 VINE HILL SCHOOL ROAD","SCOTTS VALLEY","CA","95066","(831) 335-1716","MELODY ANN BARKER","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"191501760","0097","Licensed","A CHILD'S GARDEN SCHOOL","535 WEST ROSES ROAD","SAN GABRIEL","CA","91775","(626) 282-2731","FRANCISCO J CALOCA","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"360908836","0060","Licensed","A CHILD'S PLACE","11223 11TH AVENUE","HESPERIA","CA","92345","(760) 949-8498","BONGIRNO, DONNA","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"334819251","0014","Licensed","A CHILD'S PLACE AN EARLY EDUCATION CENTER","1542 N. PALM CANYON DRIVE","PALM SPRINGS","CA","92262","(760) 325-5577","BAUM, MARLA","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"334817217","0015","Licensed","A CHILD'S PLACE AN EARLY EDUCATION CENTER","1534 N. PALM CANYON DRIVE","PALM SPRINGS","CA","92262","(760) 835-1586","BAUM, MARLA","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"197410150","0030","Licensed","A CHILD'S PLACE GROWTH AND DEVELOPMENT CENTER","4415/4419 NORMANDIE AVENUE","LOS ANGELES","CA","90037","(323) 299-3701","SWAIN, SHERONIECE L.","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"304370800","0048","Licensed","A CHILD'S PLACE LEARNING CENTER, INC.","1941 CHURCH STREET","COSTA MESA","CA","92627","(949) 646-4318","KASS, DARCIE M.","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"304370300","0040","Licensed","A CHILD'S PLACE PRESCHOOL","1601 WEST LA HABRA BLVD.","LA HABRA","CA","90631","(562) 690-4013","JAYASEKARA, ANOMA","ORANGE CO CHILD CARE (06)","(714) 703-2800"
